codval,srtseq,reaflg,alctyp,cyc_cnt_cod,defflg,rftflg,voc_cod,moddte,mod_usr_id,reuse_locflg,unassign_flg,stage_shpflg,ena_ems_flg
"CANCEL-NO-REALLOC",3,0,"","N",0,0,3,"","",0,0,0,1
"CANCEL-SHPALOCOPR-REALLOC",6,0,"","N",0,0,10,"","",0,0,0,1
"CANCEL-SHPALOCOPR-UNALLOC",7,0,"","N",0,0,11,"","",0,0,0,1
"CANCEL-WKO",3,0,"","N",0,0,8,"","",0,0,0,1
"C-NO-RA",12,0,"","N",0,0,100,"20200323134838","939370",0,0,0,1
"C-RA",4,1,"PICK-N-REPLEN-N-SHIP","N",1,1,4,"20200323135121","939370",0,0,0,1
"C-RA-REPLEN-TRLR-NOT-SAFE",13,1,"REPLEN","N",0,0,13,"","",0,0,0,1
"C-RA-TOPOFF-TRLR-NOT-SAFE",14,1,"TOPOFF-REPLEN","N",0,0,14,"","",0,0,0,1
"C-RA-TRLR-NOT-SAFE",12,1,"PICK-N-REPLEN-N-SHIP","N",0,0,12,"","",0,0,0,1
"C-RP",2,1,"REPLEN","N",0,0,2,"20200323135121","939370",0,0,0,1
"C-R-R-L",5,1,"PICK-N-REPLEN-N-SHIP","N",0,0,5,"20200323135121","939370",1,0,0,1
"C-R-U",5,1,"PICK-N-REPLEN-N-SHIP","N",0,0,6,"20200323135121","939370",1,1,0,1
"C-T",1,1,"TOPOFF-REPLEN","N",0,0,1,"20200323135121","939370",0,0,0,1
"SYS-CANCEL-NO-REALLOC",10,0,"","N",0,0,98,"","",0,0,0,1
"SYS-CANCEL-REALLOC",11,1,"PICK-N-REPLEN-N-SHIP","N",0,0,99,"","",1,0,0,1
