pck_rel_rule_id,pck_mthd_id,wrktyp,thresh_flg,dst_mov_zone_id,action,group_arg,oprcod,baspri,base_pri_offset,default_flg,ins_dt,last_upd_dt,ins_user_id,last_upd_user_id,asg_role_id
10000,-50007,"P",0,0,"create work","","PCK",10,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10001,-50008,"P",0,0,"create work","","CPK",10,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10002,-50009,"P",0,0,"create work","","PPK",10,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10003,10000,"P",0,0,"CREATE WORK","","PCK",0,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10004,10001,"K",0,0,"CREATE WORK","oprcod,ship_id,src_pck_zone_id,srcloc_wrk_zone_id","KPK",0,0,1,"20181024200141","20181024200141","940028","940028",""
10005,10002,"E",0,0,"CREATE WORK","","PRP",0,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10006,10003,"P",0,0,"CREATE WORK","","PPK",0,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10007,10003,"K",0,0,"SL_DO NOTHING","","KPK",0,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10008,10004,"P",0,0,"CREATE WORK","","CPK",0,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10009,-50010,"R",0,0,"create work","","TRN",10,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10010,-50011,"R",0,0,"create work","","TRN",10,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10011,-50012,"R",0,0,"create work","","TRN",10,0,1,"20181023123941","20181023123941","SUPER","SUPER",""
10012,-50013,"S",0,0,"CREATE WORK","","STN",20,0,1,"20181023123941","20181024193240","SUPER","940028",""
10013,10001,"P",0,0,"CREATE WORK","srcloc","LPCK",0,0,1,"20200511164139","20200511164139","938673","938673",""
10014,10006,"P",0,0,"CREATE WORK","","CCPCK",0,0,1,"20230310122320","20230310122320","939370","939370",""
10015,10007,"P",0,0,"CREATE WORK","","WOPCK",0,0,1,"20230419134843","20230419134843","938673","938673",""
10016,10008,"P",0,0,"CREATE WORK","srcloc","LPCKWKO",0,0,1,"20230419000000","20230419000000","938673","938673",""
